,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com
0,20-21,0.1,23,19,42,24,25,0.55,1.68,0.92
1,20-21,0.3,23,0,23,23,23,1.0,1.0,1.0
2,20-21,1.0,20,1,21,20,20,0.95,1.05,1.0
3,20-21,3.0,17,0,17,17,19,1.0,0.89,0.89
4,20-21,10.0,11,0,11,11,16,1.0,0.69,0.69
5,21-22,0.1,25,37,62,25,25,0.4,2.48,1.0
6,21-22,0.3,29,5,34,30,33,0.85,1.03,0.88
7,21-22,1.0,21,0,21,21,22,1.0,0.95,0.95
8,21-22,3.0,17,2,19,18,18,0.89,1.06,0.94
9,21-22,10.0,14,1,15,15,19,0.93,0.79,0.74
10,22-23,0.1,19,54,73,19,20,0.26,3.65,0.95
11,22-23,0.3,37,1,38,37,37,0.97,1.03,1.0
12,22-23,1.0,20,0,20,20,21,1.0,0.95,0.95
13,22-23,3.0,20,1,21,20,21,0.95,1.0,0.95
14,22-23,10.0,14,0,14,14,21,1.0,0.67,0.67
15,23-24,0.1,16,62,78,17,19,0.21,4.11,0.84
16,23-24,0.3,24,5,29,26,26,0.83,1.12,0.92
17,23-24,1.0,24,3,27,24,25,0.89,1.08,0.96
18,23-24,3.0,22,0,22,22,23,1.0,0.96,0.96
19,23-24,10.0,12,0,12,12,20,1.0,0.6,0.6
20,24-25,0.1,15,44,59,22,23,0.25,2.57,0.65
21,24-25,0.3,18,122,140,19,20,0.13,7.0,0.9
22,24-25,1.0,20,19,39,20,20,0.51,1.95,1.0
23,24-25,3.0,16,3,19,16,18,0.84,1.06,0.89
24,24-25,10.0,8,0,8,13,25,1.0,0.32,0.32
25,25-26,0.1,2,1,3,27,35,0.67,0.09,0.06
26,25-26,0.3,16,696,712,23,27,0.02,26.37,0.59
27,25-26,1.0,14,100,114,16,19,0.12,6.0,0.74
28,25-26,3.0,20,5,25,21,32,0.8,0.78,0.62
29,25-26,10.0,0,0,0,2,18,,0.0,0.0
30,26-27,0.1,0,0,0,0,0,0.0,0.0,0.0
31,26-27,0.3,0,0,0,0,0,0.0,0.0,0.0
32,26-27,1.0,0,0,0,0,0,0.0,0.0,0.0
33,26-27,3.0,0,0,0,0,0,0.0,0.0,0.0
34,26-27,10.0,0,0,0,0,0,0.0,0.0,0.0
